name,pop,lat,lng
Essen,1742135,51.45,7.0166
Cleveland,1730363,41.4767,-81.6805
Bhopal,1727000,23.25,77.41
Hohhot,1726000,40.82,111.66
Pittsburgh,1715297,40.4396,-79.9763
Luoyang,1715000,34.68,112.4701
Santos,1709000,-23.9537,-46.3329
Jingling,1708000,30.6501,113.16
Warsaw,1707000,52.25,21
Rabat,1705000,34.0253,-6.8361
Vitória,1704000,-20.324,-40.366
Quito,1701000,-0.215,-78.5001
Antananarivo,1697000,-18.9166,47.5166
Coimbatore,1696000,11,76.95
Daqing,1693000,46.58,125
Lu’an,1690000,31.7503,116.48
Sanzhou,1680000,30.82,108.4
Budapest,1679000,47.5,19.0833
Turin,1652000,45.0704,7.67
Suzhou,1650000,31.3005,120.62
Ludhiāna,1649000,30.9278,75.8723
Cincinnati,1648254,39.1412,-84.506
Kumasi,1646000,6.69,-1.63
Manhattan,1643734,40.7834,-73.9662
Qiqihar,1641000,47.345,123.99
Anshan,1639000,41.115,122.94
Austin,1638716,30.3006,-97.7517
Zhongli,1632616,24.965,121.2168
Handan,1631000,36.58,114.48
Tai’an,1629000,36.2,117.1201
Eşfahān,1628000,32.7,51.7
Kansas City,1615621,39.1239,-94.5541
Yaoundé,1611000,3.8667,11.5167
Shantou,1601000,23.37,116.67
Āgra,1592000,27.1704,78.015
Zhanjiang,1590000,21.2,110.38
La Paz,1590000,-16.498,-68.15
Kalyān,1576614,19.2502,73.1602
Abuja,1576000,9.0833,7.5333
Harare,1572000,-17.8178,31.0447
Indianapolis,1564699,39.7771,-86.1458
Xiantao,1556000,30.3704,113.44
Khulna,1553000,22.84,89.56
Weifang,1553000,36.7204,119.1001
Tijuana,1553000,32.5,-117.08
Santiago,1550753,19.5,-70.67
Xinyang,1541000,32.1304,114.07
Luzhou,1537000,28.88,105.38
Perth,1532000,-31.955,115.84
Toluca,1531000,19.3304,-99.67
Vishākhapatnam,1529000,17.73,83.305
Leeds,1529000,53.83,-1.58
Kōbe,1528478,34.68,135.17
Columbus,1528314,39.986,-82.9851
Multan,1522000,30.2,71.455
Kochi,1519000,10.015,76.2239
Montevideo,1513000,-34.858,-56.1711
Gujranwala,1513000,32.1604,74.185
Niterói,1500513,-22.9,-43.1
Ganzhou,1500000,25.92,114.95
Florence,1500000,43.78,11.25
Liuzhou,1497000,24.28,109.25
Bamako,1494000,12.65,-8
Conakry,1494000,9.5315,-13.6802
Bursa,1492000,40.2,29.07
León de los Aldama,1488000,21.15,-101.7
Virginia Beach,1480383,36.7335,-76.0435
Nāsik,1473000,20.0004,73.78
Fushun,1470000,41.8654,123.87
Changde,1469000,29.03,111.68
Daejeon,1468000,36.3355,127.425
Charlotte,1467362,35.2079,-80.8304
Phnom Penh,1466000,11.55,104.9166
Neijiang,1466000,29.5804,105.05
Quanzhou,1463000,24.9,118.58
Kharkiv,1461000,50,36.25
Hyderabad City,1459000,25.38,68.375
Bronx,1455720,40.8501,-73.8662
Lomé,1452000,6.1319,1.2228
Córdoba,1452000,-31.4,-64.1823
Huainan,1451000,32.63,116.98
Doha,1450000,25.2866,51.533
Kuala Lumpur,1448000,3.1667,101.7
Maputo,1446000,-25.9553,32.5892
Kaduna,1442000,10.52,7.44
Gwangju,1440000,35.171,126.9104
Kawanakajima,1437266,35.53,139.705
San Salvador,1433000,13.71,-89.203
Suining,1425000,30.5333,105.5333
Lyon,1423000,45.77,4.83
Karaj,1423000,35.8004,50.97
Kampala,1420000,0.3167,32.5833
Tabrīz,1413000,38.0863,46.3012
The Hague,1406000,52.08,4.27
Davao,1402000,7.11,125.63
Marseille,1400000,43.29,5.375
Meerut,1398000,29.0004,77.7
Mianyang,1396000,31.47,104.77
Semarang,1396000,-6.9666,110.42
Farīdābād,1394000,28.4333,77.3167
Novosibirsk,1389000,55.03,82.96
Mecca,1385000,21.43,39.82
Dubai,1379000,25.23,55.28
Milwaukee,1377808,43.0642,-87.9673
Auckland,1377200,-36.8481,174.763
Ma’anshan,1366302,31.7304,118.48
Brazzaville,1355000,-4.2592,15.2847
Yiyang,1352000,28.6004,112.33
Vārānasi,1352000,25.33,83
Lubumbashi,1352000,-11.68,27.48
Juárez,1343000,31.6904,-106.49
Ghāziābād,1341000,28.6604,77.4084
Pretoria,1338000,-25.7069,28.2294
Heze,1338000,35.23,115.45
Porto,1337000,41.15,-8.62
Āsansol,1328000,23.6833,86.9833
Lusaka,1328000,-15.4166,28.2833
Changzhou,1327000,31.78,119.97
Mosul,1316000,36.345,43.145
Yekaterinburg,1313000,56.85,60.6
Peshawar,1303000,34.005,71.535
Mandalay,1300000,21.97,96.085
Jamshedpur,1300000,22.7875,86.1975
Mbuji-Mayi,1295000,-6.15,23.6
Madura,1294000,9.92,78.12
Adana,1293000,36.995,35.32
Sheffield,1292900,53.3667,-1.5
Jabalpur,1285000,23.1751,79.9551
San José,1284000,9.935,-84.0841
Panama City,1281000,8.968,-79.533
Nizhniy Novgorod,1278000,56.333,44.0001
Chifeng,1277000,42.27,118.95
Duisburg,1276757,51.43,6.75
Munich,1275000,48.1299,11.575
Huaiyin,1264000,33.58,119.03
Stockholm,1264000,59.3508,18.0973
Makassar,1262000,-5.14,119.432
Rājkot,1260000,22.31,70.8
Dhanbād,1246000,23.8004,86.42
Mudanjiang,1244000,44.575,129.59
Geneva,1240000,46.21,6.14
Shīrāz,1240000,29.63,52.57
Huzhou,1231000,30.8704,120.1
Beidao,1225000,34.6,105.92
Shuangshui,1221000,26.5944,104.8333
Düsseldorf,1220000,51.2204,6.78
Gaozhou,1217715,21.9204,110.87
Sevilla,1212045,37.405,-5.98
Amritsar,1212000,31.64,74.87
Vila Velha,1209091,-20.3676,-40.318
Vila Velha,1209091,3.2167,-51.2167
Almaty,1209000,43.325,76.915
Providence,1206642,41.823,-71.4187
Warangal,1203853,18.01,79.58
Rosario,1203000,-32.9511,-60.6663
Allahābād,1201000,25.455,81.84
Benin City,1190000,6.3405,5.62
Jining,1186000,35.4004,116.55
Maceió,1186000,-9.62,-35.73
Sofia,1185000,42.6833,23.3167
Abbottabad,1183647,34.1495,73.1995
Benghazi,1180000,32.1167,20.0667
Cilacap,1174964,-7.7188,109.0154
Prague,1162000,50.0833,14.466
Glasgow,1160000,55.8744,-4.2507
Leshan,1157000,29.5671,103.7333
Jacksonville,1156291,30.3322,-81.6749
Ouagadougou,1149000,12.3703,-1.5247
Ottawa,1145000,45.4167,-75.7
Adelaide,1145000,-34.935,138.6
Shangrao,1144577,28.4704,117.97
Torreón,1144000,25.5701,-103.42
Srīnagar,1140000,34.1,74.815
Bezwāda,1137000,16.52,80.63
Samara,1137000,53.195,50.1513
Omsk,1135000,54.99,73.4
Newcastle,1134616,-32.8453,151.815
Yulin,1127000,22.63,110.15
Namp’o,1127000,38.7669,125.4524
Xianyang,1126000,34.3456,108.7147
Cagayan de Oro,1121561,8.4508,124.6853
Cần Thơ,1121000,10.05,105.77
Barquisimeto,1116000,10.05,-69.3
Helsinki,1115000,60.1756,24.9341
Kazan’,1115000,55.7499,49.1263
Aurangābād,1113000,19.8957,75.3203
Calgary,1110000,51.083,-114.08
Ciudad Nezahualcóyotl,1109363,19.41,-99.03
Zürich,1108000,47.38,8.55
Baoding,1107000,38.8704,115.48
Zigong,1105000,29.4,104.78
Sharjah,1103027,25.3714,55.4065
Yerevan,1102000,40.1812,44.5136
Mogadishu,1100000,2.0667,45.3667
Tbilisi,1100000,41.725,44.7908
Ankang,1100000,32.68,109.02
Huambo,1100000,-12.75,15.76
Ikare,1099931,7.5304,5.76
Belgrade,1099000,44.8186,20.468
Salt Lake City,1098400,40.7774,-111.93
Bhilai,1097000,21.2167,81.4333
Jinhua,1092852,29.12,119.65
Chelyabinsk,1091000,55.155,61.4387
Natal,1088000,-5.78,-35.24
Dushanbe,1086244,38.56,68.7739
Copenhagen,1085000,55.6786,12.5635
Changwon,1081499,35.2191,128.5836
Zhuzhou,1080000,27.83,113.15
Suwon,1078000,37.2578,127.0109
Nashville,1076645,36.1715,-86.7843
Vereeniging,1074000,-26.6496,27.96
Xiangyang,1069000,32.02,112.13
Memphis,1068873,35.1046,-89.9773
Ulsan,1061000,35.5467,129.317
Amman,1060000,31.95,35.9333
Mizhou,1060000,35.99,119.3801
Richmond,1059907,37.5295,-77.4756
Dublin,1059000,53.3331,-6.2489
Edmonton,1058000,53.55,-113.5
Solāpur,1057000,17.6704,75.9
Rostov-na-Donu,1052000,47.2346,39.7127
Dnipro,1050000,48.48,35
Xining,1048000,36.62,101.77
Zhangjiakou,1046000,40.83,114.93
Lille,1044000,50.65,3.08
Ranchi,1044000,23.37,85.33
Gaziantep,1044000,37.075,37.385
Monrovia,1041000,6.3106,-10.8048
São Luís,1038000,-2.516,-44.266
Amsterdam,1031000,52.35,4.9166
Jerusalem,1029300,31.7784,35.2066
New Orleans,1029123,30.0687,-89.9288
Guatemala City,1024000,14.6211,-90.527
Zhuhai,1023000,22.2769,113.5678
Florianópolis,1023000,-27.58,-48.52
Port Elizabeth,1021000,-33.97,25.6
Jiamusi,1020000,46.83,130.35
Port Harcourt,1020000,4.81,7.01
Raleigh,1018336,35.8324,-78.6438
Ufa,1018000,54.79,56.04
Hengyang,1016000,26.88,112.59
Benxi,1012000,41.3304,123.75
Louisville,1011696,38.1663,-85.6485
Haifa,1011000,32.8204,34.98
Medina,1010000,24.5,39.58
Bucaramanga,1009000,7.1301,-73.1259
Maracay,1007000,10.2469,-67.5958
Rotterdam,1005000,51.92,4.48
Homs,1005000,34.73,36.72
Cologne,1004000,50.93,6.95
Qinhuangdao,1003000,39.9304,119.62
Fès,1002000,34.0546,-5.0004
N’Djamena,989000,12.1131,15.0491
Tegucigalpa,946000,14.102,-87.2175
Kingston,937700,17.9771,-76.7674
Nay Pyi Taw,930000,19.7666,96.1186
Djibouti,923000,11.595,43.148
Managua,920000,12.153,-86.2685
Niamey,915000,13.5167,2.1167
Tirana,895350,41.3275,19.8189
Kathmandu,895000,27.7167,85.3166
Ulaanbaatar,885000,47.9167,106.9166
Kigali,860000,-1.9536,30.0605
Bishkek,837000,42.8731,74.5852
Oslo,835000,59.9167,10.75
Bangui,831925,4.3666,18.5583
Freetown,827000,8.47,-13.2342
Islamabad,780000,33.7,73.1666
Cotonou,762000,6.4,2.52
Vientiane,754000,17.9667,102.6
Riga,742572,56.95,24.1
Nouakchott,742144,18.0864,-15.9753
Muscat,734697,23.6133,58.5933
Ashgabat,727700,37.95,58.3833
Zagreb,722526,45.8,16
Sarajevo,696731,43.85,18.383
Chisinau,688134,47.005,28.8577
Lilongwe,646750,-13.9833,33.7833
Asmara,620802,15.3333,38.9333
Abu Dhabi,603492,24.4667,54.3666
Port Louis,595491,-20.1666,57.5
Libreville,578156,0.3854,9.458
Manama,563920,26.2361,50.5831
Vilnius,542366,54.6834,25.3166
Skopje,494087,42,21.4335
Bloemfontein,463064,-29.12,26.2299
Bratislava,423737,48.15,17.117
Bissau,403339,11.865,-15.5984
Tallinn,394024,59.4339,24.728
Wellington,393400,-41.3,174.7833
Valletta,368250,35.8997,14.5147
Maseru,361324,-29.3167,27.4833
Nur-Sultan,345604,51.1811,71.4278
Bujumbura,331700,-3.3761,29.36
Canberra,327700,-35.283,149.129
New Delhi,317797,28.6,77.2
Ljubljana,314807,46.0553,14.515
Porto-Novo,300000,6.4833,2.6166
Bandar Seri Begawan,296500,4.8833,114.9333
Port of Spain,294934,10.652,-61.517
Port Moresby,283733,-9.4647,147.1925
Bern,275329,46.9167,7.467
Windhoek,268132,-22.57,17.0835
Georgetown,264350,6.802,-58.167
Paramaribo,254169,5.835,-55.167
Dili,234331,-8.5594,125.5795
Nassau,227940,25.0834,-77.35
Sucre,224838,-19.041,-65.2595
Nicosia,224300,35.1667,33.3666
Dodoma,218269,-6.1833,35.75
Colombo,217000,6.932,79.8578
Gaborone,208411,-24.6463,25.9119
Yamoussoukro,206499,6.8184,-5.2755
Bridgetown,191152,13.102,-59.6165
Suva,175399,-18.133,178.4417
Reykjavík,166212,64.15,-21.95
Malabo,155963,3.75,8.7833
Willemstad,146813,12.2004,-69.02
